Code ,English language name ,Directionality ,Local language name 
aa ,Afar ,ltr ,Afar 
ab ,Abkhazian ,ltr ,Аҧсуа 
af ,Afrikaans ,ltr ,Afrikaans 
ak ,Akan ,ltr ,Akana 
als ,Alemannic ,ltr ,Alemannisch 
am ,Amharic ,ltr ,አማርኛ 
an ,Aragonese ,ltr ,Aragonés 
ang ,Anglo-Saxon / Old English ,ltr ,Englisc 
ar ,Arabic ,rtl ,العربية 
arc ,Aramaic ,rtl ,ܣܘܪܬ 
as ,Assamese ,ltr ,অসমীয়া 
ast ,Asturian ,ltr ,Asturianu 
av ,Avar ,ltr ,Авар 
ay ,Aymara ,ltr ,Aymar 
az ,Azerbaijani ,ltr ,Azərbaycanca / آذربايجان 
ba ,Bashkir ,ltr ,Башҡорт 
bar ,Bavarian ,ltr ,Boarisch 
bat-smg ,Samogitian ,ltr ,Žemaitėška 
bcl ,Bikol ,ltr ,Bikol Central 
be ,Belarusian ,ltr ,Беларуская 
be-x-old ,Belarusian (Taraškievica) ,ltr ,Беларуская (тарашкевіца) 
bg ,Bulgarian ,ltr ,Български 
bh ,Bihari ,ltr ,भोजपुरी 
bi ,Bislama ,ltr ,Bislama 
bm ,Bambara ,ltr ,Bamanankan 
bn ,Bengali ,ltr ,বাংলা 
bo ,Tibetan ,ltr ,བོད་ཡིག / Bod skad 
bpy ,Bishnupriya Manipuri ,ltr ,ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী 
br ,Breton ,ltr ,Brezhoneg 
bs ,Bosnian ,ltr ,Bosanski 
bug ,Buginese ,ltr ,ᨅᨔ ᨕᨘᨁᨗ / Basa Ugi 
bxr ,Buriat (Russia) ,ltr ,Буряад хэлэн 
ca ,Catalan ,ltr ,Català 
ce ,Chechen ,ltr ,Нохчийн 
ceb ,Cebuano ,ltr ,Sinugboanong Binisaya 
ch ,Chamorro ,ltr ,Chamoru 
cho ,Choctaw ,ltr ,Choctaw 
chr ,Cherokee ,ltr ,ᏣᎳᎩ 
chy ,Cheyenne ,ltr ,Tsetsêhestâhese 
co ,Corsican ,ltr ,Corsu 
cr ,Cree ,ltr ,Nehiyaw 
cs ,Czech ,ltr ,Česky 
csb ,Kashubian ,ltr ,Kaszëbsczi 
cu ,Old Church Slavonic / Old Bulgarian ,ltr ,словѣньскъ / slověnĭskŭ 
cv ,Chuvash ,ltr ,Чăваш 
cy ,Welsh ,ltr ,Cymraeg 
da ,Danish ,ltr ,Dansk 
de ,German ,ltr ,Deutsch 
diq ,Dimli ,ltr ,Zazaki 
dsb ,Lower Sorbian ,ltr ,Dolnoserbski 
dv ,Divehi ,rtl ,ދިވެހިބަސް 
dz ,Dzongkha ,ltr ,ཇོང་ཁ 
ee ,Ewe ,ltr ,Ɛʋɛ 
el ,Greek ,ltr ,Ελληνικά 
en ,English ,ltr ,English 
eo ,Esperanto ,ltr ,Esperanto 
es ,Spanish ,ltr ,Español 
et ,Estonian ,ltr ,Eesti 
eu ,Basque ,ltr ,Euskara 
ext ,Extremaduran ,ltr ,Estremeñu 
fa ,Persian ,rtl ,فارسی 
ff ,Peul ,ltr ,Fulfulde 
fi ,Finnish ,ltr ,Suomi 
fiu-vro ,Võro ,ltr ,Võro 
fj ,Fijian ,ltr ,Na Vosa Vakaviti 
fo ,Faroese ,ltr ,Føroyskt 
fr ,French ,ltr ,Français 
frp ,Arpitan / Franco-Provençal ,ltr ,Arpitan / francoprovençal 
fur ,Friulian ,ltr ,Furlan 
fy ,West Frisian ,ltr ,Frysk 
ga ,Irish ,ltr ,Gaeilge 
gd ,Scottish Gaelic ,ltr ,Gàidhlig 
gil ,Gilbertese ,ltr ,Taetae ni kiribati 
gl ,Galician ,ltr ,Galego 
gn ,Guarani ,ltr ,Avañe'ẽ 
got ,Gothic ,ltr ,gutisk 
gu ,Gujarati ,ltr ,ગુજરાતી 
gv ,Manx ,ltr ,Gaelg 
ha ,Hausa ,rtl ,هَوُسَ 
haw ,Hawaiian ,ltr ,Hawai`i 
he ,Hebrew ,rtl ,עברית 
hi ,Hindi ,ltr ,हिन्दी 
ho ,Hiri Motu ,ltr ,Hiri Motu 
hr ,Croatian ,ltr ,Hrvatski 
ht ,Haitian ,ltr ,Krèyol ayisyen 
hu ,Hungarian ,ltr ,Magyar 
hy ,Armenian ,ltr ,Հայերեն 
hz ,Herero ,ltr ,Otsiherero 
ia ,Interlingua ,ltr ,Interlingua 
id ,Indonesian ,ltr ,Bahasa Indonesia 
ie ,Interlingue ,ltr ,Interlingue 
ig ,Igbo ,ltr ,Igbo 
ii ,Sichuan Yi ,ltr ,ꆇꉙ / 四川彝语 
ik ,Inupiak ,ltr ,Iñupiak 
ilo ,Ilokano ,ltr ,Ilokano 
io ,Ido ,ltr ,Ido 
is ,Icelandic ,ltr ,Íslenska 
it ,Italian ,ltr ,Italiano 
iu ,Inuktitut ,ltr ,ᐃᓄᒃᑎᑐᑦ 
ja ,Japanese ,ltr ,日本語 
jbo ,Lojban ,ltr ,Lojban 
jv ,Javanese ,ltr ,Basa Jawa 
ka ,Georgian ,ltr ,ქართული 
kg ,Kongo ,ltr ,KiKongo 
ki ,Kikuyu ,ltr ,Gĩkũyũ 
kj ,Kuanyama ,ltr ,Kuanyama 
kk ,Kazakh ,ltr ,Қазақша 
kl ,Greenlandic ,ltr ,Kalaallisut 
km ,Cambodian ,ltr ,ភាសាខ្មែរ 
kn ,Kannada ,ltr ,ಕನ್ನಡ 
khw ,Khowar ,rtl ,کھوار 
ko ,Korean ,ltr ,한국어 
kr ,Kanuri ,ltr ,Kanuri 
ks ,Kashmiri ,rtl ,कश्मीरी / كشميري 
ksh ,Ripuarian ,ltr ,Ripoarisch 
ku ,Kurdish ,rtl ,Kurdî / كوردی 
kv ,Komi ,ltr ,Коми 
kw ,Cornish ,ltr ,Kernewek 
ky ,Kirghiz ,ltr ,Kırgızca / Кыргызча 
la ,Latin ,ltr ,Latina 
lad ,Ladino / Judeo-Spanish ,ltr ,Dzhudezmo / Djudeo-Espanyol 
lan ,Lango ,ltr ,Leb Lango / Luo 
lb ,Luxembourgish ,ltr ,Lëtzebuergesch 
lg ,Ganda ,ltr ,Luganda 
li ,Limburgian ,ltr ,Limburgs 
lij ,Ligurian ,ltr ,Líguru 
lmo ,Lombard ,ltr ,Lumbaart 
ln ,Lingala ,ltr ,Lingála 
lo ,Laotian ,ltr ,ລາວ / Pha xa lao 
lt ,Lithuanian ,ltr ,Lietuvių 
lv ,Latvian ,ltr ,Latviešu 
map-bms ,Banyumasan ,ltr ,Basa Banyumasan 
mg ,Malagasy ,ltr ,Malagasy 
mh ,Marshallese ,ltr ,Kajin Majel / Ebon 
mi ,Maori ,ltr ,Māori 
min ,Minangkabau ,ltr ,Minangkabau 
mk ,Macedonian ,ltr ,Македонски 
ml ,Malayalam ,ltr ,മലയാളം 
mn ,Mongolian ,ltr ,Монгол 
mo ,Moldovan ,ltr ,Moldovenească 
mr ,Marathi ,ltr ,मराठी 
ms ,Malay ,ltr ,Bahasa Melayu 
mt ,Maltese ,ltr ,bil-Malti 
mus ,Creek / Muskogee ,ltr ,Mvskoke 
my ,Burmese ,ltr ,Myanmasa 
na ,Nauruan ,ltr ,Dorerin Naoero 
nah ,Nahuatl ,ltr ,Nahuatl 
nap ,Neapolitan ,ltr ,Nnapulitano 
nd ,North Ndebele ,ltr ,Sindebele 
nds ,Low German / Low Saxon ,ltr ,Plattdüütsch 
nds-nl ,Dutch Low Saxon ,ltr ,Nedersaksisch 
ne ,Nepali ,ltr ,नेपाली 
new ,Newar ,ltr ,नेपालभाषा / Newah Bhaye 
ng ,Ndonga ,ltr ,Oshiwambo 
nl ,Dutch ,ltr ,Nederlands 
nn ,Norwegian Nynorsk ,ltr ,Norsk (nynorsk) 
no ,Norwegian ,ltr ,Norsk (bokmål / riksmål) 
nr ,South Ndebele ,ltr ,isiNdebele 
nso ,Northern Sotho ,ltr ,Sesotho sa Leboa / Sepedi 
nrm ,Norman ,ltr ,Nouormand / Normaund 
nv ,Navajo ,ltr ,Diné bizaad 
ny ,Chichewa ,ltr ,Chi-Chewa 
oc ,Occitan ,ltr ,Occitan 
oj ,Ojibwa ,ltr ,ᐊᓂᔑᓈᐯᒧᐎᓐ / Anishinaabemowin 
om ,Oromo ,ltr ,Oromoo 
or ,Oriya ,ltr ,ଓଡ଼ିଆ 
os ,Ossetian / Ossetic ,ltr ,Иронау 
pa ,Panjabi / Punjabi ,ltr ,ਪੰਜਾਬੀ / पंजाबी / پنجابي 
pag ,Pangasinan ,ltr ,Pangasinan 
pam ,Kapampangan ,ltr ,Kapampangan 
pap ,Papiamentu ,ltr ,Papiamentu 
pdc ,Pennsylvania German ,ltr ,Deitsch 
pi ,Pali ,ltr ,Pāli / पाऴि 
pih ,Norfolk ,ltr ,Norfuk 
pl ,Polish ,ltr ,Polski 
pms ,Piedmontese ,ltr ,Piemontèis 
ps ,Pashto ,rtl ,پښتو 
pt ,Portuguese ,ltr ,Português 
qu ,Quechua ,ltr ,Runa Simi 
rm ,Raeto Romance ,ltr ,Rumantsch 
rmy ,Romani ,ltr ,Romani / रोमानी 
rn ,Kirundi ,ltr ,Kirundi 
ro ,Romanian ,ltr ,Română 
roa-rup ,Aromanian ,ltr ,Armâneashti 
ru ,Russian ,ltr ,Русский 
rw ,Rwandi ,ltr ,Kinyarwandi 
sa ,Sanskrit ,ltr ,संस्कृतम् 
sc ,Sardinian ,ltr ,Sardu 
scn ,Sicilian ,ltr ,Sicilianu 
sco ,Scots ,ltr ,Scots 
sd ,Sindhi ,ltr ,सिनधि 
se ,Northern Sami ,ltr ,Sámegiella 
sg ,Sango ,ltr ,Sängö 
sh ,Serbo-Croatian ,ltr ,Srpskohrvatski / Српскохрватски 
si ,Sinhalese ,ltr ,සිංහල 
simple ,Simple English ,ltr ,Simple English 
sk ,Slovak ,ltr ,Slovenčina 
sl ,Slovenian ,ltr ,Slovenščina 
sm ,Samoan ,ltr ,Gagana Samoa 
sn ,Shona ,ltr ,chiShona 
so ,Somalia ,ltr ,Soomaaliga 
sq ,Albanian ,ltr ,Shqip 
sr ,Serbian ,ltr ,Српски 
ss ,Swati ,ltr ,SiSwati 
st ,Southern Sotho ,ltr ,Sesotho 
su ,Sundanese ,ltr ,Basa Sunda 
sv ,Swedish ,ltr ,Svenska 
sw ,Swahili ,ltr ,Kiswahili 
ta ,Tamil ,ltr ,தமிழ் 
te ,Telugu ,ltr ,తెలుగు 
tet ,Tetum ,ltr ,Tetun 
tg ,Tajik ,ltr ,Тоҷикӣ 
th ,Thai ,ltr ,ไทย / Phasa Thai 
ti ,Tigrinya ,ltr ,ትግርኛ 
tk ,Turkmen ,ltr ,Туркмен / تركمن 
tl ,Tagalog / Filipino ,ltr ,Tagalog 
tlh ,Klingon ,ltr ,tlhIngan-Hol 
tn ,Tswana ,ltr ,Setswana 
to ,Tonga ,ltr ,Lea Faka-Tonga 
tpi ,Tok Pisin ,ltr ,Tok Pisin 
tr ,Turkish ,ltr ,Türkçe 
ts ,Tsonga ,ltr ,Xitsonga 
tt ,Tatar ,ltr ,Tatarça 
tum ,Tumbuka ,ltr ,chiTumbuka 
tw ,Twi ,ltr ,Twi 
ty ,Tahitian ,ltr ,Reo Mā`ohi 
udm ,Udmurt ,ltr ,Удмурт кыл 
ug ,Uyghur ,ltr ,Uyƣurqə / ئۇيغۇرچە 
uk ,Ukrainian ,ltr ,Українська 
ur ,Urdu ,rtl ,اردو 
uz ,Uzbek ,ltr ,Ўзбек 
ve ,Venda ,ltr ,Tshivenḓa 
vi ,Vietnamese ,ltr ,Tiếng Việt 
vec ,Venetian ,ltr ,Vèneto 
vls ,West Flemish ,ltr ,West-Vlaoms 
vo ,Volapük ,ltr ,Volapük 
wa ,Walloon ,ltr ,Walon 
war ,Waray-Waray / Samar-Leyte Visayan ,ltr ,Winaray / Binisaya Lineyte-Samarnon 
wo ,Wolof ,ltr ,Wollof 
xal ,Kalmyk ,ltr ,Хальмг 
xh ,Xhosa ,ltr ,isiXhosa 
yi ,Yiddish ,rtl ,ייִדיש 
yo ,Yoruba ,ltr ,Yorùbá 
za ,Zhuang ,ltr ,Cuengh / Tôô / 壮语 
zh ,Chinese ,ltr ,中文 
zh-min-nan ,Minnan ,ltr ,Bân-lâm-gú 
zh-yue ,Cantonese ,ltr ,粵語 / 粤语 
zu ,Zulu ,ltr ,isiZulu 
Old projects,,,
closed-zh-tw ,Traditional Chinese ,ltr ,‪中文(台灣)‬ 
nb ,Norwegian Bokmål ,ltr ,Norsk (bokmål) 
zh-tw ,Traditional Chinese ,ltr ,‪中文(台灣)‬ 
tokipona ,tokipona ,ltr ,tokipona 